window_size,time_delta,flags_urg,ack,stream,checksum_status,seq,len,flags_res,hdr_len,dstport,flags_push,flags_ns,flags_ack,time_relative,flags_fin,port,window_size_value,flags_ecn,nxtseq,srcport,urgent_pointer,flags_syn,flags_cwr,flags_reset,class
330240,0,249081,249081,0,2,0,0,32,2.33E-06,57984,0,0,1,0.003021764,0,5566,645,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,18824,0,32,1.20E-05,5566,0,0,1,0.003033741,0,57984,83,0,267905,57984,0,0,0,0,1
367616,0,267905,267905,0,2,0,0,32,5.31E-06,57984,0,0,1,0.003039046,0,5566,718,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,65160,0,32,4.02E-05,5566,0,0,1,0.022552642,0,57984,83,0,5373225,57984,0,0,0,0,1
1975808,0,5373225,5373225,0,2,0,0,32,1.44E-05,57984,0,0,1,0.022566997,0,5566,3859,0,1,5566,0,0,0,0,1
512,0,0,212678606,259,2,1,0,0,20,0,0,0,0,0,0,1705,512,0,1,1705,0,0,0,0,0
512,0,0,2072821755,260,2,1,0,0,20,0,0,0,0,0,0,1706,512,0,1,1706,0,0,0,0,0
512,0,0,1327361592,261,2,1,0,0,20,0,0,0,0,0,0,1707,512,0,1,1707,0,0,0,0,0
408064,0,288177,288177,0,2,0,0,32,4.12E-06,57984,0,0,1,0.00359469,0,5566,797,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,43440,0,32,0.002836383,5566,0,0,1,0.006431073,0,57984,83,0,331617,57984,0,0,0,0,1
488448,0,331617,331617,0,2,0,0,32,1.45E-05,57984,0,0,1,0.006445586,0,5566,954,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,7240,0,32,2.91E-05,5566,1,0,1,0.006474708,0,57984,83,0,338857,57984,0,0,0,0,1
42496,0,1,1,0,2,752,0,32,3.77E-05,5566,1,0,1,0.022454356,0,57984,83,0,5242905,57984,0,0,0,0,1
1975808,0,5242905,5242905,0,2,0,0,32,6.14E-06,57984,0,0,1,0.0224605,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,65160,0,32,3.93E-05,5566,0,0,1,0.022499818,0,57984,83,0,5308065,57984,0,0,0,0,1
